entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
FNA,0,1.0,nan,nan,30332,30332,30332,0,0
FNA,1,1.0,nan,nan,36140,36140,36140,0,0
FNA,2,1.0,nan,nan,25530,25530,25530,0,0
FNA,3,1.0,nan,nan,41717,41717,41717,0,0
FNA,4,1.0,nan,nan,37064,37064,37064,0,0
FNA,5,1.0,nan,nan,20208,20208,20208,0,0
FNA,6,1.0,nan,nan,30249,30249,30249,0,0
FNA,7,1.0,nan,nan,36944,36944,36944,0,0
FNA,8,1.0,nan,nan,39437,39437,39437,0,0
FNA,9,1.0,nan,nan,38586,38586,38586,0,0
FNA,10,1.0,nan,nan,34963,34963,34963,0,0
FNA,11,1.0,nan,nan,33816,33816,33816,0,0
FNA,12,1.0,nan,nan,35816,35816,35816,0,0
FNA,13,1.0,nan,nan,27512,27512,27512,0,0
FNA,14,1.0,nan,nan,29539,29539,29539,0,0
FNA,15,1.0,nan,nan,37330,37330,37330,0,0
FNA,16,1.0,nan,nan,30191,30191,30191,0,0
FNA,17,1.0,nan,nan,37512,37512,37512,0,0
FNA,18,1.0,nan,nan,27855,27855,27855,0,0
FNA,19,1.0,nan,nan,34764,34764,34764,0,0
FNA,20,1.0,nan,nan,40821,40821,40821,0,0
FNA,21,1.0,nan,nan,38279,38279,38279,0,0
FNA,22,1.0,nan,nan,33882,33882,33882,0,0
FNA,23,1.0,nan,nan,32917,32917,32917,0,0
FNA,24,1.0,nan,nan,45861,45861,45861,0,0
FNA,25,1.0,nan,nan,38542,38542,38542,0,0
FNA,26,1.0,nan,nan,32679,32679,32679,0,0
FNA,27,1.0,nan,nan,22391,22391,22391,0,0
FNA,28,1.0,nan,nan,31559,31559,31559,0,0
FNA,29,1.0,nan,nan,29989,29989,29989,0,0
FNA,30,1.0,nan,nan,38003,38003,38003,0,0
FNA,31,1.0,nan,nan,35859,35859,35859,0,0
FNA,32,1.0,nan,nan,33725,33725,33725,0,0
FNA,33,1.0,nan,nan,22139,22139,22139,0,0
FNA,34,1.0,nan,nan,38368,38368,38368,0,0
FNA,35,1.0,nan,nan,26732,26732,26732,0,0
FNA,36,1.0,nan,nan,39433,39433,39433,0,0
FNA,37,1.0,nan,nan,30340,30340,30340,0,0
FNA,38,1.0,nan,nan,43342,43342,43342,0,0
FNA,39,1.0,nan,nan,32403,32403,32403,0,0
FBT,0,0.33288446000538646,0.1577717345117702,-1.8466060088467942,30332,10511,6798,3713,23534
FBT,1,0.5517456359102244,0.0467697907188353,-3.062517781942502,36140,15188,14160,1028,21980
FBT,2,0.4960921640276086,0.26042526182164394,-1.3454393617491889,25530,13878,9775,4103,15755
FBT,3,0.5588623799350957,0.10043934586282646,-2.2982012574297466,41717,19604,17135,2469,24582
FBT,4,0.35292110146534994,0.053697335973047135,-2.92439188813837,37064,9819,8273,1546,28791
FBT,5,0.39368258859784283,0.5084408403980833,-0.6764064116617408,20208,13540,6643,6897,13565
FBT,6,0.46072282633217526,0.19293342648966963,-1.645410090050932,30249,14077,10211,3866,20038
FBT,7,0.6508256141763995,0.18550592525068368,-1.6846684553925806,36944,22648,19392,3256,17552
FBT,8,0.44529764929516497,0.06759155286702648,-2.6942722613294343,39437,13696,11830,1866,27607
FBT,9,0.5514176970844791,0.05062697261793057,-2.9832707890221055,38586,16327,15140,1187,23446
FBT,10,0.5055399975648363,0.0825965255253921,-2.493787663197152,34963,14315,12456,1859,22507
FBT,11,0.5361426123847597,0.10008223286412228,-2.3017631022797747,33816,15212,13143,2069,20673
FBT,12,0.5731853180832772,0.11508227137346809,-2.162108003150259,35816,17692,15335,2357,20481
FBT,13,0.5145509398932467,0.27346889078290515,-1.2965674084418037,27512,15578,11086,4492,16426
FBT,14,0.4727072734772446,0.19687906371911573,-1.6251656285022955,29539,14099,10314,3785,19225
FBT,15,0.42847845380140026,0.0949106434427778,-2.3548194253581567,37330,13375,10863,2512,26467
FBT,16,0.6283252999692339,0.21830038994218098,-1.5218832291603996,30191,18564,15317,3247,14874
FBT,17,0.5006519904886093,0.06468231253577561,-2.738267491421716,37512,14636,13054,1582,24458
FBT,18,0.5164339523055516,0.17926515328808798,-1.7188892659034338,27855,13827,10763,3064,17092
FBT,19,0.46896237361180176,0.09310359534268776,-2.374042477370792,34764,13500,11317,2183,23447
FBT,20,0.42693420233605506,0.07341997873872638,-2.6115591904977133,40821,13801,11660,2141,29161
FBT,21,0.4859675309119723,0.11166460765950663,-2.1922554748652683,38279,15988,13186,2802,25093
FBT,22,0.42708201426702125,0.14231610839925937,-1.9497045800171064,33882,13500,10118,3382,23764
