entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
SG,0,0.7979186793444178,1.4891440501043842,0.39820149187307724,28329,30672,23539,7133,4790
SG,1,0.7042059871258046,0.8262379421221865,-0.1908724814208373,24677,23326,16902,6424,7775
SG,2,0.7708805015798771,0.08507128549546365,-2.464265721076851,23979,16214,15492,722,8487
SG,3,0.813806384316033,0.6453557078704798,-0.43795362912785907,38889,35888,30427,5461,8462
SG,4,0.8022518671462907,0.36849743246260325,-0.9983215349140524,33825,28168,24867,3301,8958
SG,5,0.7271782435475489,0.20624952132955504,-1.5786685745964395,34047,23683,20990,2693,13057
SG,6,0.8088227561911773,0.9299363057324841,-0.0726391836399716,38302,37774,30766,7008,7536
SG,7,0.7958347294893935,0.6281603288797534,-0.46495984433369425,40606,36988,30876,6112,9730
SG,8,0.7388761669896072,0.6505957020376351,-0.4298668711165126,29954,26816,20973,5843,8981
SG,9,0.8199412174952675,0.6639429163309932,-0.40955910258231654,41608,38688,32919,5769,8689
SG,10,0.8305441286462228,0.06727513616958634,-2.698964558297097,24560,18224,17767,457,6793
SG,11,0.8625137084691309,0.22704714640198512,-1.4825975896652073,35174,29567,27920,1647,7254
SG,12,0.7574643797077775,0.24548526156355588,-1.404518367914031,50552,37600,33386,4214,17166
SG,13,0.7849237802371282,1.6540178571428572,0.5032073928811017,28794,32017,23866,8151,4928
SG,14,0.7890425361038506,0.3039985558263381,-1.1907323281584556,38097,30386,27018,3368,11079
SG,15,0.836562612127736,0.5490562829450774,-0.5995543237016808,29196,26544,23315,3229,5881
SG,16,0.8323955713433765,0.5465964828328748,-0.6040444401358845,40462,36672,32103,4569,8359
SG,17,0.6833341393039638,0.3036697856526644,-1.1918143993585206,36265,25772,21196,4576,15069
SG,18,0.7846674867495862,2.9287891382654476,1.0745890742214947,29443,36404,25834,10570,3609
SG,19,0.7828892619899263,0.21554683668464933,-1.5345770534492236,39046,29449,26812,2637,12234
SG,20,0.5203181309804896,11.167060677698975,2.412968434110483,9643,22545,8374,14171,1269
SG,21,0.7531808821935624,1.488417832167832,0.3977136981816845,21950,24185,17374,6811,4576
SG,22,0.7899126680404278,0.5545067939010476,-0.589676219965516,37816,33521,28175,5346,9641
SG,23,0.8128669311215291,0.6644855016679497,-0.408742219474763,35970,33355,28176,5179,7794
SG,24,0.5481738665954463,17.438692098092645,2.858691421293193,8944,21010,8210,12800,734
SG,25,0.7899686520376176,4.315296989422294,1.46216614937949,27028,35177,24570,10607,2458
SG,26,0.7741758467891293,0.8957733502245767,-0.11006785534495261,36899,35994,28216,7778,8683
SG,27,0.834371260409798,0.23230671390933041,-1.4596967377322052,45172,36722,34165,2557,11007
SG,28,0.7449077690320255,0.8965825329461693,-0.1091649288846821,33749,32823,24795,8028,8954
SG,29,0.8126018866196538,0.4786818904465963,-0.7367190139936608,29101,25494,22182,3312,6919
SG,30,0.7454218443427076,0.5081729022884126,-0.6769335304771262,26495,22433,18236,4197,8259
SG,31,0.7770800880052675,0.7628905257810515,-0.27064073665352145,32068,30201,24194,6007,7874
SG,32,0.7959625838425511,0.5303104018682495,-0.6342927799677833,40953,36126,30676,5450,10277
SG,33,0.8430043635688422,1.0461538461538462,0.04512043528046964,37565,37832,31780,6052,5785
SG,34,0.7100442459579043,3.4662420382165604,1.2430710210008378,20311,28055,17171,10884,3140
SG,35,0.8342026093398037,0.7276307498424701,-0.31796157121569424,33938,32209,27590,4619,6348
SG,36,0.8042391638938157,0.3712906869288428,-0.9907700004491321,37172,31049,27433,3616,9739
SG,37,0.8363469119579501,0.7437692523102772,-0.296024436998124,38965,37135,31823,5312,7142
SG,38,0.722868245472542,0.3718786295005807,-0.9891877427283098,38424,29771,24648,5123,13776
SG,39,0.77710766072116,0.7014815721807273,-0.35456064894969797,32391,29953,24224,5729,8167
SG,40,0.7623839613074342,0.30519550080342794,-1.1868027214779147,28881,22395,19546,2849,9335
SG,41,0.694831634321039,3.1782299084435404,1.156324409249742,28294,39000,23379,15621,4915
SG,42,0.7095446250477443,0.720030158331239,-0.32846218127808874,24677,22449,16719,5730,7958
SG,43,0.8372380269344171,1.7545515846257587,0.5622133169345185,23979,26217,21013,5204,2966
SG,44,0.7754500136246333,0.42686901609289063,-0.8512780666929263,34007,28380,24189,4191,9818
SG,45,0.8015561048749849,0.7019230769230769,-0.3539314579929816,38302,35729,29670,6059,8632
SG,46,0.7473625763464742,0.23581029319590502,-1.4447276396012962,40606,29633,26247,3386,14359
SG,47,0.8060995932409912,0.45248322147651004,-0.7930045961395445,29943,25864,22493,3371,7450
SG,48,0.7479008936082409,2.034581581964081,0.7102901869252927,28794,34209,23560,10649,5234
SG,49,0.8129486547208066,0.6204604794683124,-0.4772933677948492,38097,34899,29671,5228,8426
SG,50,0.8013303194782383,0.5770285714285714,-0.5498634964927444,36579,32878,27829,5049,8750
SG,51,0.7745372431779148,1.7854616895874262,0.5796770314163641,29443,33441,24353,9088,5090
SG,52,0.793032157125695,0.3897382984710627,-0.9422797946609266,39046,32540,28385,4155,10661
SG,53,0.3245828387907561,6.165925925925926,1.81903831608105,7349,21297,4649,16648,2700
SG,54,0.7485968647184053,3.9770114942528734,1.3805306564031405,21950,29720,19340,10380,2610
SG,55,0.7172055730809674,0.3144951886360165,-1.1567865014133019,34920,25944,21826,4118,13094
SG,56,0.787527577584939,0.5705588171341596,-0.5611390174759442,35970,32020,26772,5248,9198
SG,57,0.4335266047513982,43.69635627530364,3.7772647181973693,8943,30035,8449,21586,494
SG,58,0.7157855522064551,2.215325670498084,0.7953994222595522,26355,32699,21135,11564,5220
SG,59,0.7235614179719703,0.4200050817311764,-0.8674884684179759,33749,26901,21942,4959,11807
SG,60,0.7667892198198806,1.1714824120603016,0.15826996567358764,29101,30193,22733,7460,6368
SG,61,0.6977496078619674,3.310431408354257,1.1970785157463515,26178,36300,21797,14503,4381
SG,62,0.7723773071864517,1.5952822240943556,0.4670506635901062,32068,35601,26133,9468,5935
SG,63,0.6518844023944578,6.938139059304704,1.9370335914866081,16494,28109,14538,13571,1956
SG,64,0.7930458342741025,0.33072009291521487,-1.1064829021004392,36675,29760,26343,3417,10332
SG,65,0.7365074481450145,1.119406063105795,0.11279824384940741,38424,39582,28726,10856,9698
SG,66,0.7286203565469395,0.17044163320960534,-1.7693623680822936,33943,22992,20742,2250,13201
SG,67,0.8077104612305775,0.321011673151751,-1.1362777915545845,29101,23866,21391,2475,7710
SG,68,0.7274547364518321,0.9139906266273217,-0.08993496291173123,40953,39962,29431,10531,11522
SG,69,0.8106192508590007,0.6102449888641426,-0.493894781354184,33938,30963,26305,4658,7633
SF,0,0.7455465966622914,1.3103234793375638,0.27027403752270346,28329,30334,21868,8466,6461
SF,1,0.8167566178360318,0.08960822450680744,-2.4123081718432036,24677,18124,17479,645,7198
SF,2,0.7860838372921888,0.3510020331106593,-1.0469632631949861,23979,19510,17093,2417,6886
SF,3,0.8151647878222158,0.22499286190158943,-1.4916866021627864,38889,30746,28382,2364,10507
SF,4,0.7920552576358125,1.1465102286401925,0.13672274489852135,33825,34799,27177,7622,6648
SF,5,0.7971084962235405,0.32367558422332665,-1.1280135480700997,34047,27651,24590,3061,9457
SF,6,0.8295357107715663,0.378851620238772,-0.9706106538849253,38302,32839,29507,3332,8795
SF,7,0.8194045525286906,0.7351081935327012,-0.3077375885171565,40606,38427,32380,6047,8226
SF,8,0.7481530621475742,2.247909780283881,0.8100007979004055,29954,36372,24811,11561,5143
SF,9,0.8367083848095827,0.16319112301511382,-1.8128332312212427,41608,32860,31154,1706,10454
SF,10,0.707068215059827,2.695642507781236,0.9916365832864229,24560,32187,20062,12125,4498
SF,11,0.8107430153100943,0.8608079376328844,-0.1498838683893391,35174,34192,28119,6073,7055
