neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
0,Sad5,0.7836697800542332,0.8367869020209773,-0.17818583825457085,33828,32552,26010,6542,7818
1,Sad5,0.7602124482952738,0.08242183184178543,-2.49590492762341,49162,32552,31060,1492,18102
2,Sad5,0.6973573755078741,0.054604313740785525,-2.9076423931106135,56791,32552,31152,1400,25639
3,Sad5,0.6967839374555792,0.045169193079160924,-3.097339993562837,57496,32552,31372,1180,26124
4,Sad5,0.6443164721141375,0.045888634630053396,-3.0815378041221155,63823,32552,31048,1504,32775
0,Sad6,0.7964229215422228,3.620474777448071,1.2866051712289268,33828,42659,30458,12201,3370
1,Sad6,0.8704980342187517,0.29292160487115365,-1.2278502659323882,49162,42659,39965,2694,9197
2,Sad6,0.8179185520361991,0.12332506203473946,-2.0929316288441,56791,42659,40671,1988,16120
3,Sad6,0.8218661075333233,0.09192729053185629,-2.3867573347067434,57496,42659,41157,1502,16339
4,Sad6,0.7576867451775887,0.0987522888898352,-2.3151406968382835,63823,42659,40340,2319,23483
0,Sad7,0.7607051616101275,3.8237253394824493,1.3412251671604334,33828,44849,29925,14924,3903
1,Sad7,0.8894491070193914,0.4134366925064599,-0.8832508777959549,49162,44849,41809,3040,7353
2,Sad7,0.8422274695001968,0.14632925870326685,-1.921895999815141,56791,44849,42802,2047,13989
3,Sad7,0.8458449362450535,0.1101182099634112,-2.206200854166664,57496,44849,43284,1565,14212
4,Sad7,0.7855933451118964,0.1023324028953967,-2.279528912331778,63823,44849,42686,2163,21137
0,Sad8,0.7690015668747271,3.623650385604113,1.2874819115634688,33828,44034,29938,14096,3890
1,Sad8,0.8483840508176317,0.4674421019835912,-0.7604797839473513,49162,44034,39533,4501,9629
2,Sad8,0.8231688569303248,0.16582750277904923,-1.796807170791007,56791,44034,41498,2536,15293
3,Sad8,0.8277947404707968,0.12996833193304466,-2.0404644587170204,57496,44034,42023,2011,15473
4,Sad8,0.7707612857765375,0.11088646268589657,-2.1992484598323574,63823,44034,41566,2468,22257
0,Sad9,0.7455414598271741,2.5598015800110234,0.9399297476793917,33828,42318,28385,13933,5443
1,Sad9,0.8555531263664189,0.31757902083956524,-1.1470286070819447,49162,42318,39133,3185,10029
2,Sad9,0.8360491983573641,0.05780873641038995,-2.8506153657569753,56791,42318,41430,888,15361
3,Sad9,0.8362955096479452,0.03686782156228187,-3.30041615277016,57496,42318,41737,581,15759
4,Sad9,0.7816772029658662,0.037333810824119254,-3.287855906505177,63823,42318,41484,834,22339
0,Happy10,0.5742547240603042,319.05128205128204,5.7653518486459845,33828,83444,33672,49772,156
